Employee categories,,,,,,,Payroll Cost Breakdown,,,Payroll found,,Payroll WHP,,Payroll PDL,,,,,Employee Performance,,,,,,,,,,Planned Payroll,,,,,,Actual Payroll ,,,,,,Top 5 Employees,,,,,,,,,
,,,,,,,,,,,,,,,,,,,KPI's,,,,,,Compensation,,,,,,,,,,,,,,,,Bonus,,,,,Base salary,,,,
Year,Month,Management,Administration Staff,Sales Department,Production Department,Logistics Department,Basic Payroll,Bonus and Prizes,Payroll Taxes,Payroll,Annual Payroll ,Standard Hours,Actual Hours,Head Office,Regional Office,Regional Branches,Remote Employee,Outsourcing, A, B, C,D, E, A2, B2, C2, D2, E2,Planned Payroll SA,Planned Payroll MO,Planned Payroll TU,Planned Payroll WE,Planned Payroll TH,Planned Payroll FR,Actual Payroll SA,Actual Payroll MO,Actual Payroll TU,Actual Payroll WE,Actual Payroll TH,Actual Payroll FR,Bonus EMP1,Bonus EMP2,Bonus EMP3,Bonus EMP4,Bonus EMP5,Base Salary EMP1,Base Salary EMP2,Base Salary EMP3,Base Salary EMP4,Base Salary EMP5
2022,January,"$950,618 ","$1,656,384 ","$4,739,103 ","$3,257,329 ","$1,887,614 ",55%,23%,22%,"$145,078 ","$1,740,936 ",98%,81%,27%,21%,11%,11%,6%,75%,73%,61%,88%,88%,51%,66%,97%,81%,58%,"$2,380 ","$3,933 ","$2,568 ","$2,873 ","$1,422 ","$1,914 ","$2,763 ","$3,064 ","$1,345 ","$4,494 ","$3,266 ","$4,452 ","$1,637 ","$2,071 ","$3,894 ","$2,204 ",$835 ,"$6,162 ","$4,657 ","$5,023 ","$5,146 ","$14,220 "
2022,February,"$1,332,698 ","$2,517,422 ","$2,831,961 ","$4,793,110 ","$1,013,381 ",58%,25%,17%,"$72,535 ","$870,420 ",86%,88%,29%,21%,11%,6%,14%,83%,57%,57%,64%,67%,96%,62%,71%,69%,76%,"$3,800 ","$2,611 ","$2,421 ","$2,519 ","$1,392 ","$1,799 ","$3,990 ","$2,345 ","$4,704 ","$3,660 ","$4,769 ","$2,485 ","$4,017 ","$3,903 ","$4,027 ","$4,765 ","$3,068 ","$9,111 ","$13,718 ","$9,257 ","$13,966 ","$12,701 "
2022,March,"$806,871 ","$1,642,657 ","$4,624,419 ","$3,891,271 ","$1,297,421 ",65%,13%,23%,"$118,637 ","$1,423,644 ",81%,93%,27%,17%,23%,6%,14%,95%,80%,54%,87%,60%,90%,83%,90%,66%,58%,"$4,454 ","$2,886 ","$4,717 ","$1,898 ","$2,634 ","$1,453 ","$1,070 ","$1,892 ","$2,844 ","$1,937 ","$4,280 ","$3,830 ","$4,644 ","$2,369 ","$2,406 ","$4,683 ","$3,199 ","$9,629 ","$7,710 ","$14,583 ","$11,808 ","$7,976 "
2022,April,"$1,456,333 ","$2,943,265 ","$2,617,155 ","$5,064,075 ","$1,833,687 ",59%,19%,23%,"$93,826 ","$1,125,912 ",83%,79%,31%,21%,25%,9%,13%,52%,100%,98%,96%,91%,66%,66%,74%,61%,58%,"$4,364 ","$3,567 ","$2,847 ","$1,731 ","$4,630 ","$2,304 ","$1,818 ","$3,057 ","$4,333 ","$3,879 ","$2,628 ","$3,626 ","$4,325 ","$4,771 ","$2,709 ","$1,696 ","$1,778 ","$4,859 ","$10,174 ","$6,398 ","$9,589 ","$8,388 "
2022,May,"$877,854 ","$1,733,495 ","$2,955,725 ","$4,174,411 ","$1,695,797 ",54%,25%,21%,"$137,302 ","$1,647,624 ",97%,77%,34%,26%,17%,6%,16%,51%,66%,62%,98%,85%,70%,79%,90%,57%,52%,"$2,440 ","$4,182 ","$4,172 ","$4,484 ","$3,384 ","$4,716 ","$2,028 ","$2,937 ","$3,734 ","$1,026 ","$2,930 ","$1,238 ","$1,218 ","$1,089 ","$1,328 ","$1,632 ",$957 ,"$12,818 ","$12,068 ","$12,410 ","$7,692 ","$14,389 "
2022,June,"$1,331,260 ","$1,636,580 ","$2,303,703 ","$4,917,527 ","$1,531,057 ",62%,17%,21%,"$70,272 ","$843,264 ",94%,84%,25%,18%,21%,12%,18%,70%,70%,83%,84%,52%,89%,74%,79%,60%,82%,"$1,642 ","$3,094 ","$3,944 ","$2,064 ","$2,909 ","$1,782 ","$1,841 ","$1,737 ","$1,012 ","$4,501 ","$3,500 ","$4,285 ","$1,379 ",$979 ,"$3,959 ",$711 ,"$1,434 ","$8,514 ","$13,417 ","$12,923 ","$8,240 ","$8,368 "
2022,July,"$896,428 ","$2,526,245 ","$3,647,798 ","$6,036,572 ","$860,352 ",59%,24%,17%,"$125,886 ","$1,510,632 ",83%,95%,31%,25%,24%,7%,6%,90%,75%,79%,60%,92%,96%,65%,83%,60%,85%,"$3,096 ","$3,242 ","$3,338 ","$4,608 ","$3,043 ","$3,787 ","$2,820 ","$4,554 ","$2,732 ","$2,230 ","$4,611 ","$1,486 ","$1,688 ","$3,842 ","$3,981 ","$2,321 ","$3,679 ","$11,249 ","$4,793 ","$9,753 ","$11,095 ","$13,464 "
2022,August,"$1,385,048 ","$2,228,989 ","$4,058,237 ","$3,623,805 ","$1,634,998 ",53%,29%,18%,"$61,394 ","$736,728 ",97%,77%,37%,22%,19%,11%,9%,62%,58%,57%,71%,96%,70%,68%,92%,96%,56%,"$4,270 ","$3,133 ","$1,310 ","$4,988 ","$3,331 ","$3,770 ","$1,624 ","$2,058 ","$2,466 ","$3,929 ","$2,720 ","$3,662 ",$575 ,"$2,015 ",$860 ,"$1,031 ","$2,049 ","$6,306 ","$9,278 ","$5,225 ","$7,907 ","$9,892 "
2022,September,"$886,237 ","$1,645,730 ","$3,445,234 ","$5,647,369 ","$1,188,779 ",53%,30%,17%,"$96,710 ","$1,160,520 ",83%,100%,25%,15%,11%,9%,17%,55%,81%,83%,69%,55%,73%,56%,87%,68%,71%,"$2,672 ","$4,672 ","$4,398 ","$2,622 ","$1,947 ","$3,292 ","$2,548 ","$4,566 ","$4,373 ","$1,770 ","$2,720 ","$2,368 ","$3,636 ",$545 ,"$3,986 ","$2,409 ","$4,444 ","$8,602 ","$10,228 ","$3,085 ","$12,447 ","$13,133 "
